#Index	accX	accY	accZ	gyrX	gyrY	gyrZ
109	0	0.841366	0	0	0	0
110	0	0.96246	0	0	0	0
111	0	1.12262	0	0	0	0
112	0	1.21246	0	0	0	0
113	0	1.12652	0	0	0	0
114	0	1.07965	0	0	0	0
115	0	1.09137	0	0	0	0
116	0	0.997616	0	0	0	0
117	0	0.939022	0	0	0	0
118	0	0.907772	0	0	0	0
119	0	0.860897	0	0	0	0
120	0	0.864804	0	0	0	0
121	0	0.888241	0	0	0	0
122	0	0.876522	0	0	0	0
123	0	0.821835	0	0	0	0
124	0	0.755429	0	0	0	0
125	0	0.71246	0	0	0	0
126	0	0.669491	0	0	0	0
127	0	0.642147	0	0	0	0
128	0	0.646054	0	0	0	0
129	0	0.622616	0	0	0	0
130	0	0.583554	0	0	0	0
131	0	0.591366	0	0	0	0
132	0	0.626522	0	0	0	0
133	0	0.657772	0	0	0	0
134	0	0.708554	0	0	0	0
135	0	0.74371	0	0	0	0
136	0	0.767147	0	0	0	0
137	0	0.798397	0	0	0	0
138	0	0.814022	0	0	0	0
139	0	0.80621	0	0	0	0
140	0	0.771054	0	0	0	0
141	0	0.724179	0	0	0	0
142	0	0.653866	0	0	0	0
143	0	0.548397	0	0	0	0
144	0	0.439022	0	0	0	0
145	0	0.346249	0	0	0	0
146	0	0.311093	0	-212.821	0	0
147	0	0.497616	1.13677	-231.258	0	0
148	0	0.669491	1.15191	-251.383	0	0
149	0.94444	0.614804	0	-270.883	0	0
150	1.13096	0.407772	0	-284.133	0	0
151	1.12315	0.567929	0	-291.321	0	0
152	1.09239	0.677304	0	-303.133	0	0
153	1.08458	0.68121	0	-311.321	0	0
154	0.963972	0.599179	0	-320.071	0	0
155	0	0.966366	0	-314.571	0	0
156	0	0.958554	0	-308.071	0	0
157	0	0.856991	0	-294.758	0	0
158	0	0.86871	0	-283.008	0	0
159	0	0.759335	0	-268.821	0	0
160	0	0	0	-254.633	0	0
161	0	0.849179	0	-244.508	0	0
162	0	0.841366	0	-245.258	0	0
163	0	0.58746	0	-238.883	0	0
164	0	0.423397	0	-235.946	0	0
165	0	0.411679	0	-234.133	0	0
166	0	0.354062	0	-228.446	0	0
167	0	0.322812	0	-228.946	0	0
168	0	0.338437	0	-227.258	0	0
169	0	0.361874	0	-231.383	0	0
170	0	0.346249	0	-234.508	0	0
171	0	0.357968	0	-228.071	0	0
172	0	0.369687	0	-208.571	0	0
173	0	0.392147	0	0	0	0
174	0	0.411679	0	0	0	0
175	0	0	0	0	0	0
176	0	0.33453	0	0	0	0
177	0	0.392147	0	0	0	0
178	0	0.357968	0	0	0	0
179	0	0.442929	0	0	0	0
180	0	0.33453	0	0	0	0
181	0	0	0	0	0	0
182	0	0	0	0	0	0
183	0	0	0	0	0	0
184	0	0	0	0	0	0
185	0	0	0	0	0	0
186	0	0	0	0	0	0
187	0	0	0	0	0	0
188	0	0	0	0	0	0
189	0	0	0	0	0	0
190	0	0	0	0	0	0
191	0	-0.294376	0	0	0	0
192	0	0	0	0	0	0
193	0	0	0	0	0	0
194	0	0	0	0	0	0
195	0	0	0	0	0	0
196	0	0	0	0	0	0
197	0	0	0	0	0	0
198	0	0	0	0	0	0
199	0	-0.298282	1.99566	0	0	0
200	0	0	0	0	0	0
201	0	0	0	0	0	0
202	0	0	0	0	0	0
203	0	0	0	0	0	0
204	0	0	0	0	0	0
205	0	0	0	0	0	0
206	0	0	0	0	0	0
207	0	0	0	0	0	0
208	0	0	0	0	0	0
209	0	0	0	0	0	0
210	0	0	0	0	0	0
211	0	0	0	0	0	0
212	0	0	0	0	0	0
213	0	0	0	0	0	0
214	0	0	0	0	0	0
215	0	0	0	0	0	0
216	0	0	0	0	0	0
217	0	0	0	0	0	0
218	0	0	0	0	0	0
219	0	0	0	0	0	0
220	0	-0.286563	0	0	0	0
221	0	-0.317813	0	0	0	0
222	0	-0.360782	0	0	0	0
223	0	-0.376407	0	0	0	0
224	0	-0.395938	0	0	0	0
225	0	-0.392032	0	0	0	0
226	0	-0.349063	0	0	0	0
227	0	-0.302188	0	0	0	0
228	0	-0.294376	0	0	0	0
229	0	0	0	0	0	0
230	0	-0.278751	0	0	0	0
231	0	0	0	0	0	0
232	0	0	0	0	0	0
233	0	0	0	0	0	0
234	0	-0.282657	0	0	0	0
235	0	-0.306095	0	0	0	0
236	0	-0.325626	0	0	0	0
237	0	-0.345157	0	0	0	0
238	0	-0.294376	0	0	0	0
239	0	0	0	0	0	0
240	0	-0.294376	0	0	0	0
241	0	-0.32172	0	0	0	0
242	0	-0.333438	0	0	0	0
243	0	-0.333438	0	0	0	0
244	0	-0.302188	0	0	0	0
245	0	-0.360782	0	0	0	0
246	0	-0.325626	0	0	0	0
247	0	-0.407657	0	0	0	0
248	0	-0.493595	0	0	0	0
249	0	-0.493595	0	0	0	0
250	0	-0.470157	0	0	0	0
251	0	-0.407657	0	0	0	0
252	0	-0.372501	0	0	0	0
253	0	-0.376407	0	0	0	0
