#Step	accX	accY	posX	posY	Yaw	vX	vY	vYaw
143	0.0010827	4.76427e-14	1.1951e-17	1.77604	1.5708	1.50674	1.12188e-15	-3.53497e-15
144	0.00107359	4.12388e-14	6.64947e-18	1.79111	1.5708	1.50675	1.53427e-15	7.62573e-15
145	0.00106448	-2.46118e-16	1.37255e-18	1.80618	1.5708	1.50676	1.53181e-15	8.80086e-15
146	0.00105537	-7.01385e-14	-8.6052e-18	1.82126	1.5708	1.50677	8.30422e-16	9.11156e-15
147	0.00104626	5.71679e-14	-1.59321e-17	1.83633	1.5708	1.50678	1.4021e-15	-1.2672e-14
148	0.00103715	-2.81105e-13	1.50447e-18	1.8514	1.5708	1.50679	-1.40895e-15	2.07335e-15
149	0.00102804	7.06446e-14	1.02031e-17	1.86648	1.5708	1.5068	-7.02507e-16	-2.91207e-15
150	0.00101893	1.17457e-13	1.21765e-17	1.88155	1.5708	1.50681	4.72062e-16	-8.43859e-15
151	0.00100982	-2.26045e-15	1.27025e-17	1.89663	1.5708	1.50682	4.49458e-16	1.87965e-15
152	0.00100071	-7.31286e-14	2.05414e-17	1.9117	1.5708	1.50683	-2.81828e-16	2.57579e-15
153	0.000991602	2.30097e-13	5.37054e-18	1.92677	1.5708	1.50684	2.01914e-15	2.8193e-15
154	0.000982492	1.18123e-13	-1.82656e-17	1.94185	1.5708	1.50685	3.20037e-15	3.18212e-15
155	0.000973381	-1.20166e-13	-3.15586e-17	1.95692	1.5708	1.50686	1.99871e-15	8.58079e-15
156	0.000964271	-2.07548e-13	-2.57704e-17	1.97199	1.5708	1.50687	-7.67643e-17	3.62976e-15
157	0.00095516	-3.71897e-14	-1.45897e-17	1.98707	1.5708	1.50688	-4.48661e-16	3.41347e-15
158	0.000946049	1.36344e-13	-1.70434e-17	2.00214	1.5708	1.50689	9.14783e-16	3.20658e-15
159	0.000936939	-9.69746e-14	-1.14732e-17	2.01722	1.5708	1.5069	-5.49628e-17	5.91016e-15
160	0.000927828	1.36455e-13	-1.95484e-17	2.03229	1.5708	1.50691	1.30958e-15	-4.82138e-15
161	0.000918717	1.0014e-14	-2.86251e-17	2.04736	1.5708	1.50692	1.40972e-15	-5.61946e-15
162	0.000909606	-8.87682e-14	-3.04984e-17	2.06244	1.5708	1.50693	5.2204e-16	-5.98182e-15
163	0.000900495	-1.44916e-14	-2.59021e-17	2.07751	1.5708	1.50694	3.77125e-16	-6.29143e-15
164	0.000891384	-2.66485e-14	-2.03144e-17	2.09258	1.5708	1.50695	1.1064e-16	4.59556e-15
165	0.000882273	5.33391e-15	-1.1913e-17	2.10766	1.5708	1.50695	1.63979e-16	5.60783e-15
166	0.000873162	-8.24429e-15	-7.7078e-18	2.12273	1.5708	1.50696	8.15359e-17	5.98382e-15
167	0.000864051	2.61984e-14	-4.4489e-18	2.13781	1.5708	1.50697	3.4352e-16	-4.69232e-15
168	0.00085494	-5.71599e-14	2.85245e-18	2.15288	1.5708	1.50698	-2.28078e-16	5.18152e-15
169	0.000845829	-1.28821e-14	1.64626e-17	2.16795	1.5708	1.50699	-3.56899e-16	-5.00475e-15
170	0.000836717	6.72375e-14	2.50225e-17	2.18303	1.5708	1.507	3.15475e-16	5.25985e-15
171	0.000827606	-1.33773e-14	3.49202e-17	2.1981	1.5708	1.507	1.81702e-16	6.05865e-15
172	0.000818495	4.40185e-14	3.70689e-17	2.21317	1.5708	1.50701	6.21888e-16	6.21708e-15
173	0.000809383	-2.39727e-14	3.32473e-17	2.22825	1.5708	1.50702	3.82161e-16	6.2473e-15
174	0.000800272	6.43507e-14	3.47053e-17	2.24332	1.5708	1.50703	1.02567e-15	-1.56486e-14
175	0.00079116	4.6458e-14	2.14763e-17	2.2584	1.5708	1.50704	1.49025e-15	4.36045e-15
176	0.000782049	1.53418e-13	-4.0031e-19	2.27347	1.5708	1.50704	3.02442e-15	-5.50958e-15
177	0.000772937	-1.52668e-13	-7.01009e-18	2.28854	1.5708	1.50705	1.49774e-15	4.99412e-15
178	0.000763825	-6.4893e-14	-1.04776e-17	2.30362	1.5708	1.50706	8.4881e-16	5.86746e-15
179	0.000754714	-4.7241e-14	-5.87401e-18	2.31869	1.5708	1.50707	3.764e-16	-4.91376e-15
180	0.000745602	-1.52346e-14	-1.42046e-18	2.33376	1.5708	1.50708	2.24055e-16	5.2049e-15
181	0.00073649	-3.56317e-14	4.92274e-18	2.34884	1.5708	1.50708	-1.32263e-16	5.90217e-15
182	0.000727378	-1.96407e-13	2.42126e-17	2.36391	1.5708	1.50709	-2.09634e-15	-4.84908e-15
183	0.000718266	-9.66201e-14	5.8185e-17	2.37899	1.5708	1.5071	-3.06254e-15	-1.66895e-14
184	0.000709154	1.1588e-13	8.39165e-17	2.39406	1.5708	1.5071	-1.90374e-15	-6.98352e-15
185	0.000700042	7.81914e-14	1.00155e-16	2.40913	1.5708	1.50711	-1.12182e-15	4.3409e-15
186	0.00069093	1.41943e-13	1.05547e-16	2.42421	1.5708	1.50712	2.97606e-16	-5.40941e-15
187	0.000681818	-4.40239e-14	1.15341e-16	2.43928	1.5708	1.50712	-1.42633e-16	5.02251e-15
188	0.000672706	8.33102e-15	1.24302e-16	2.45435	1.5708	1.50713	-5.93229e-17	5.66558e-15
189	0.000663594	-1.82899e-13	1.44858e-16	2.46943	1.5708	1.50714	-1.88832e-15	6.03776e-15
190	0.000654482	2.74758e-13	1.4296e-16	2.4845	1.5708	1.50714	8.59263e-16	-4.69564e-15
191	0.00064537	4.83443e-14	1.379e-16	2.49958	1.5708	1.50715	1.34271e-15	5.22917e-15
192	0.000636257	-1.59933e-13	1.45487e-16	2.51465	1.5708	1.50716	-2.56622e-16	6.01751e-15
193	0.000627145	4.70949e-14	1.48364e-16	2.52972	1.5708	1.50716	2.14326e-16	-4.74249e-15
194	0.000618033	1.45874e-13	1.38328e-16	2.5448	1.5708	1.50717	1.67307e-15	-5.55689e-15
195	0.00060892	-9.55618e-14	1.36174e-16	2.55987	1.5708	1.50718	7.17451e-16	5.00455e-15
196	0.000599808	1.17818e-14	1.31168e-16	2.57494	1.5708	1.50718	8.35269e-16	-5.09561e-15
197	0.000590695	8.87052e-14	1.15619e-16	2.59002	1.5708	1.50719	1.72232e-15	-5.89028e-15
198	0.000581583	4.62191e-14	1.00468e-16	2.60509	1.5708	1.50719	2.18451e-15	-6.08992e-15
199	0.00057247	1.4758e-13	7.05586e-17	2.62017	1.5708	1.5072	3.66031e-15	4.60365e-15
200	0.000563358	2.30786e-14	4.16888e-17	2.63524	1.5708	1.50721	3.8911e-15	5.67373e-15
201	0.000554245	-2.29397e-13	2.73911e-17	2.65031	1.5708	1.50721	1.59712e-15	6.11855e-15
202	0.000545133	-2.70953e-14	1.58029e-17	2.66539	1.5708	1.50722	1.32617e-15	-4.89819e-15
203	0.00053602	-2.32984e-14	6.54459e-18	2.68046	1.5708	1.50722	1.09318e-15	-5.74335e-15
204	0.000526907	9.37023e-14	-5.38987e-18	2.69553	1.5708	1.50723	2.03021e-15	-6.12552e-15
205	0.000517794	-1.67567e-13	-7.26171e-18	2.71061	1.5708	1.50723	3.54537e-16	4.82941e-15
206	0.000508682	-5.48825e-14	-3.64531e-18	2.72568	1.5708	1.50724	-1.94288e-16	-5.35717e-15
207	0.000499569	-8.76712e-15	4.19486e-18	2.74076	1.5708	1.50724	-2.81959e-16	-5.86072e-15
208	0.000490456	1.90482e-13	-5.33969e-18	2.75583	1.5708	1.50725	1.62287e-15	-6.02941e-15
209	0.000481343	7.44468e-14	-2.06454e-17	2.7709	1.5708	1.50725	2.36733e-15	4.6226e-15
210	0.00047223	-2.12144e-13	-2.14308e-17	2.78598	1.5708	1.50726	2.45892e-16	5.68316e-15
211	0.000463117	-5.76631e-14	-1.47764e-17	2.80105	1.5708	1.50726	-3.30739e-16	-4.98278e-15
212	0.000454004	-1.15341e-13	1.73863e-18	2.81613	1.5708	1.50727	-1.48415e-15	-5.86554e-15
213	0.000444891	7.08379e-14	1.28434e-17	2.8312	1.5708	1.50727	-7.75768e-16	-6.03191e-15
214	0.000435778	4.78105e-14	1.9167e-17	2.84627	1.5708	1.50727	-2.97663e-16	-6.29398e-15
215	0.000426665	-1.22017e-14	2.83844e-17	2.86135	1.5708	1.50728	-4.19681e-16	-6.34605e-15
216	0.000417552	-5.5422e-14	4.14705e-17	2.87642	1.5708	1.50728	-9.73901e-16	-6.43836e-15
217	0.000408439	2.21146e-13	3.74625e-17	2.89149	1.5708	1.50729	1.23756e-15	-6.35455e-15
218	0.000399326	-1.31671e-14	3.47713e-17	2.90657	1.5708	1.50729	1.10588e-15	4.53873e-15
219	0.000390213	-7.31872e-14	2.93577e-17	2.92164	1.5708	1.5073	3.74012e-16	5.58303e-15
220	0.0003811	7.77826e-14	2.45334e-17	2.93672	1.5708	1.5073	1.15184e-15	-1.60066e-14
221	0.000371987	-4.99875e-14	2.30343e-17	2.95179	1.5708	1.5073	6.51964e-16	4.1714e-15
222	0.000362874	2.29198e-14	2.09168e-17	2.96686	1.5708	1.50731	8.81162e-16	-5.34379e-15
223	0.00035376	-9.99217e-14	2.54444e-17	2.98194	1.5708	1.50731	-1.18055e-16	5.03682e-15
224	0.000344647	2.35043e-13	9.81474e-18	2.99701	1.5708	1.50731	2.23238e-15	-5.33311e-15
225	0.000335534	1.70855e-15	-9.33282e-18	3.01208	1.5708	1.50732	2.24946e-15	5.16188e-15
226	0.000326421	-1.34543e-13	-1.83731e-17	3.02716	1.5708	1.50732	9.04032e-16	-5.06596e-15
227	0.000317307	-1.57525e-14	-1.74706e-17	3.04223	1.5708	1.50732	7.46507e-16	-1.67356e-14
228	0.000308194	-1.07381e-13	-7.50344e-18	3.05731	1.5708	1.50733	-3.27304e-16	3.93797e-15
229	0.000299081	-2.61877e-14	6.18951e-20	3.07238	1.5708	1.50733	-5.89181e-16	5.22059e-15
230	0.000289967	1.4569e-13	-1.02888e-17	3.08745	1.5708	1.50733	8.67717e-16	-4.99962e-15
231	0.000280854	-1.00597e-14	-1.29394e-17	3.10253	1.5708	1.50733	7.6712e-16	-1.68746e-14
232	0.000271741	-6.14685e-14	-7.76968e-18	3.1176	1.5708	1.50734	1.52435e-16	-7.13402e-15
233	0.000262627	-1.07008e-14	-3.20337e-18	3.13267	1.5708	1.50734	4.54271e-17	4.18403e-15
234	0.000253514	2.36388e-13	-1.89288e-17	3.14775	1.5708	1.50734	2.4093e-15	-5.33503e-15
235	0.0002444	-6.06372e-14	-3.36111e-17	3.16282	1.5708	1.50735	1.80293e-15	5.04473e-15
236	0.000235287	-1.37606e-13	-3.28592e-17	3.1779	1.5708	1.50735	4.26871e-16	-5.33418e-15
237	0.000226173	-9.55248e-14	-2.42284e-17	3.19297	1.5708	1.50735	-5.28377e-16	-5.7959e-15
238	0.00021706	-1.33861e-15	-8.7696e-18	3.20804	1.5708	1.50735	-5.41763e-16	-6.18598e-15
239	0.000207946	-3.00985e-14	6.35197e-18	3.22312	1.5708	1.50735	-8.42747e-16	4.74676e-15
240	0.000198833	1.09636e-13	8.83638e-18	3.23819	1.5708	1.50736	2.53616e-16	5.4998e-15
241	0.000189719	-8.37325e-14	1.9694e-17	3.25326	1.5708	1.50736	-5.83709e-16	-4.86305e-15
242	0.000180606	1.50855e-13	1.37926e-17	3.26834	1.5708	1.50736	9.24846e-16	-5.70939e-15
243	0.000171492	3.29899e-14	6.26575e-18	3.28341	1.5708	1.50736	1.25475e-15	-6.16061e-15
244	0.000162379	-8.12335e-14	5.18869e-18	3.29849	1.5708	1.50736	4.4241e-16	-6.19532e-15
245	0.000153265	-5.91803e-14	1.17032e-17	3.31356	1.5708	1.50736	-1.49392e-16	-6.32173e-15
246	0.000144152	1.73301e-13	2.56114e-18	3.32863	1.5708	1.50737	1.58362e-15	-6.34184e-15
247	0.000135038	-1.65333e-13	1.32994e-17	3.34371	1.5708	1.50737	-6.9716e-17	4.52146e-15
248	0.000125925	3.98239e-14	1.83818e-17	3.35878	1.5708	1.50737	3.28523e-16	5.57729e-15
249	0.000116811	5.65986e-15	2.45718e-17	3.37385	1.5708	1.50737	3.85122e-16	5.92121e-15
250	0.000107697	8.97406e-14	2.17876e-17	3.38893	1.5708	1.50737	1.28253e-15	6.20345e-15
251	9.85838e-05	-5.20868e-14	1.58445e-17	3.404	1.5708	1.50737	7.6166e-16	6.2679e-15
252	8.94702e-05	-3.63915e-14	1.52141e-17	3.41908	1.5708	1.50737	3.97745e-16	-4.71231e-15
253	8.03566e-05	-2.03774e-15	1.3114e-17	3.43415	1.5708	1.50737	3.77368e-16	-5.71525e-15
254	7.1243e-05	-3.57841e-15	1.47187e-17	3.44922	1.5708	1.50737	3.41584e-16	-6.11225e-15
255	6.21294e-05	3.47867e-14	1.45183e-17	3.4643	1.5708	1.50737	6.89451e-16	-6.08196e-15
256	5.30157e-05	-7.91886e-14	2.39103e-17	3.47937	1.5708	1.50738	-1.02435e-16	4.56361e-15
257	4.39021e-05	-5.26882e-14	3.1877e-17	3.49444	1.5708	1.50738	-6.29317e-16	5.66234e-15
258	3.47885e-05	9.83543e-14	3.00082e-17	3.50952	1.5708	1.50738	3.54226e-16	-4.97664e-15
259	2.56748e-05	8.84936e-14	1.92901e-17	3.52459	1.5708	1.50738	1.23916e-15	-5.80646e-15
260	1.65612e-05	-2.28845e-13	3.98241e-17	3.53967	1.5708	1.50738	-1.04929e-15	-6.17517e-15
261	7.44757e-06	1.01005e-13	5.02576e-17	3.55474	1.5708	1.50738	-3.92342e-17	4.84408e-15
262	-1.66607e-06	-1.15752e-13	6.89193e-17	3.56981	1.5708	1.50738	-1.19675e-15	5.68482e-15
263	-1.07797e-05	2.51594e-13	6.24215e-17	3.58489	1.5708	1.50738	1.31918e-15	5.99856e-15
264	-1.98933e-05	-7.51789e-14	6.51152e-17	3.59996	1.5708	1.50738	5.67394e-16	6.26365e-15
265	-2.9007e-05	1.04285e-13	5.23598e-17	3.61503	1.5708	1.50738	1.61025e-15	6.39042e-15
266	-3.81206e-05	-5.02331e-14	4.63012e-17	3.63011	1.5708	1.50738	1.10791e-15	-4.76963e-15
267	-4.72342e-05	-5.76516e-14	4.43343e-17	3.64518	1.5708	1.50738	5.31399e-16	-5.49888e-15
268	-5.63479e-05	1.55001e-13	2.85407e-17	3.66026	1.5708	1.50737	2.08141e-15	-6.15376e-15
269	-6.54615e-05	1.31955e-13	4.5723e-18	3.67533	1.5708	1.50737	3.40096e-15	-6.15899e-15
270	-7.45751e-05	-3.74214e-13	1.13311e-17	3.6904	1.5708	1.50737	-3.41177e-16	4.76661e-15
271	-8.36887e-05	1.77534e-13	7.03062e-18	3.70548	1.5708	1.50737	1.43416e-15	-5.44698e-15
272	-9.28023e-05	-9.86554e-14	5.90157e-18	3.72055	1.5708	1.50737	4.4761e-16	5.04337e-15
